timestamp,metric,value,outcome,details
20180622 154502,credit0,"2,542",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit1,"2,527",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit2,"2,233",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit3,"2,739",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit4,2.134,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit5,1.949,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit6,1.668,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit7,2438,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit8,"2,043",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,credit9,"1,547",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage0,"46,112",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage1,"42,050",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage2,"22,799",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage3,"61,361",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage4,"9,870",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage5,"44,368",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage6,"16,154",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage7,"31,322",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage8,"28,983",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,damage9,17.637,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing0,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing1,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing2,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing3,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing4,"44,046",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing5,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing6,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing7,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing8,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,healing9,"19,082",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda0,15/1/7,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda1,1/4/16,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda2,1/4/15,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda3,16/4/14,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda4,2/4/10,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda5,5/9/3,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda6,1/8/4,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda7,5/11/4,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda8,6/9/3,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,kda9,0/8/4,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name0,YHOckami,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name1,BLACKHOOF,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name2,Xenasito,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name3,rampje,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name4,ArbyTheSpartan,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name5,Nopietnais,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name6,Cawkaable,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name7,Zesto,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name8,c4té32,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,name9,W Rubsnulters,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective0,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective1,57,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective2,133,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective3,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective4,53,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective5,13,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective6,47,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective7,23,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective8,25,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective9,49,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding0,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding1,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding2,"18,085",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding3,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding4,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding5,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding6,"47,239",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding7,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding8,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding9,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak0,14,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak1,11,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak2,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak3,1,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak4,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak5,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak6,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
