timestamp,time,fixed_time
2018-06-22T15:45:02Z,10:37,10:37
2018-06-22T16:01:10Z,10:29,10:29
2018-06-22T16:18:43Z,1337,13:37
2018-06-22T16:35:28Z,1231,12:31
2018-06-22T18:10:30Z,10.01,10:01
2018-06-22T18:27:56Z,10:33,10:33
2018-06-22T18:45:55Z,10:59,10:59
2018-06-22T19:18:41Z,16.51,16:51
2018-06-22T20:28:10Z,15:36,15:36
2018-06-22T20:49:18Z,16:27,16:27
2018-06-22T21:07:07Z,1311,13:11
2018-06-22T22:27:42Z,1719,17:19
2018-06-22T22:39:51Z,8:08,8:08
2018-06-22T22:57:02Z,1348,13:48
2018-06-22T23:18:21Z,1631,16:31
2018-06-22T23:27:24Z,6:38,6:38
2018-06-22T23:43:43Z,8:22,8:22
2018-06-23T00:04:18Z,1538,15:38
2018-06-23T00:16:27Z,742,7:42
2018-06-23T12:00:49Z,9,9:10
2018-06-23T12:21:51Z,18:31,18:31
2018-06-23T12:46:44Z,1515,15:15
2018-06-23T13:00:35Z,1127,11:27
2018-06-23T13:12:27Z,8:18,8:17
2018-06-23T13:23:26Z,8:53,8:53
2018-06-23T14:48:03Z,18:03,18:03
2018-06-23T15:04:10Z,12:58,12:58
2018-06-23T15:14:44Z,737,7:37
2018-06-23T15:35:44Z,T2,11:29
2018-06-23T15:48:12Z,849,8:49
2018-06-23T16:02:07Z,8:05,8:05
2018-06-23T16:18:42Z,1016,10:16
2018-06-23T16:31:41Z,933,9:33
2018-06-23T19:41:34Z,8:24,8:24
2018-06-23T19:55:47Z,7:21,7:21
2018-06-23T20:14:46Z,10:02,10:02
2018-06-23T20:26:12Z,7:15,7:15
2018-06-23T20:40:57Z,11:00,11:00
2018-06-23T20:53:01Z,816,8:16
2018-06-23T21:05:45Z,a26,8:26
2018-06-23T21:18:13Z,9:40,9:40
2018-06-23T23:15:12Z,9:20,9:20
2018-06-23T23:34:04Z,1744,17:44
2018-06-23T23:47:10Z,9:21,9:21
2018-06-24T00:00:16Z,To?,11:07
2018-06-24T00:22:02Z,10.5,10:50
2018-06-24T00:38:25Z,15:27,15:27
2018-06-24T00:52:02Z,9:03,9:03
2018-06-24T01:02:35Z,7:14,7:14
2018-06-24T01:13:33Z,9:54,9:54
2018-06-24T01:27:57Z,743,7:43
2018-06-24T02:09:53Z,18:26,18:26
2018-06-24T02:20:00Z,832,8:32
2018-06-24T02:32:38Z,N29,11:29
2018-06-24T02:41:49Z,740,7:40
2018-06-24T02:52:40Z,732,7:32
2018-06-24T03:06:21Z,9:03,9:03
2018-06-24T03:16:07Z,7:59,7:59
2018-06-24T03:28:54Z,10:59,10:59
2018-06-24T03:42:01Z,9:23,9:23
2018-06-24T03:55:49Z,9:53,9:53
2018-06-24T04:10:02Z,944,9:44
2018-06-24T04:22:17Z,9:52,9:52
2018-06-24T04:41:19Z,17:26,17:26
2018-06-24T14:42:31Z,1238,12:38
2018-06-24T14:54:16Z,8:28,8:28
2018-06-24T15:07:39Z,10:25,10:25
2018-06-24T15:20:06Z,8:24,8:24
2018-06-24T15:34:34Z,Too,11:09
2018-06-24T15:52:07Z,10:21,10:21
2018-06-24T16:05:47Z,11:20,11:20
2018-06-24T16:25:54Z,1410,14:10
2018-06-24T16:36:44Z,7.01,7:01
2018-06-24T16:49:46Z,6:50,6:50
2018-06-24T17:02:47Z,9:08,9:08
2018-06-24T17:20:14Z,9.36,9:36
2018-06-24T17:28:47Z,7,7:00
2018-06-24T17:41:33Z,10:29,NA
2018-06-24T17:51:07Z,7:58,NA
2018-06-24T19:32:24Z,3:00,9:10
2018-06-24T19:46:06Z,12:09,12:09
2018-06-24T19:58:24Z,10:00,10:00
2018-06-24T20:07:17Z,617,6:17
2018-06-24T20:17:45Z,8:28,8:28
2018-06-24T20:31:27Z,T:29,11:29
2018-06-25T21:53:48Z,8:52,8:52
2018-06-25T22:27:02Z,9:17,9:17
2018-06-25T22:41:25Z,/ ID 251809443,11:23
2018-06-25T22:55:54Z,9:36,9:36
2018-06-25T23:23:28Z,1745,17:45
