,enemy_damage,enemy_heals,outcome,team_damage,team_heals,timestamp
0,138464,19082,VICTORY,182192,44046,20180622 154502
1,165951,31492,VICTORY,176409,67830,20180622 160110
2,261771,96038,DEFEAT,304142,78775,20180622 161843
3,227658,65507,DEFEAT,231888,50365,20180622 163528
4,222258,21746,DEFEAT,232827,36329,20180622 181030
5,182995,37652,DEFEAT,225726,22517,20180622 182756
6,222319,0,DEFEAT,136511,0,20180622 184555
7,375206,97564,DEFEAT,327914,77226,20180622 191841
8,318145,0,VICTORY,282448,59029,20180622 202810
9,289342,75195,VICTORY,280987,68341,20180622 204918
10,207471,43485,DEFEAT,222811,28673,20180622 210707
11,324850,90312,DEFEAT,337374,59197,20180622 222742
12,99672,32402,VICTORY,162751,9593,20180622 223951
13,269244,0,DEFEAT,166883,0,20180622 225702
14,288810,107193,VICTORY,319372,86389,20180622 231821
15,60226,0,VICTORY,121695,0,20180622 232724
16,161186,47141,VICTORY,192344,42514,20180622 234343
17,274944,86459,DEFEAT,266721,51625,20180623 000418
18,120676,0,VICTORY,123020,0,20180623 001627
19,163622,52049,DEFEAT,113015,39178,20180623 120049
20,355027,65206,VICTORY,408727,123099,20180623 122151
21,239452,87804,VICTORY,626089,65613,20180623 124644
22,239856,61187,VICTORY,235378,85898,20180623 130035
23,106764,0,VICTORY,107540,36684,20180623 131227
24,101899,52324,VICTORY,210197,50256,20180623 132326
25,318708,76925,VICTORY,380525,0,20180623 144803
26,261154,70508,DEFEAT,224676,31089,20180623 150410
27,69371,11917,VICTORY,110022,31181,20180623 151444
28,249528,74182,VICTORY,248276,92935,20180623 153544
29,145601,14265,VICTORY,156839,0,20180623 154812
30,147844,42062,DEFEAT,156963,0,20180623 160207
31,131303,59386,VICTORY,220734,34058,20180623 161842
32,134893,58389,DEFEAT,164304,0,20180623 163141
